split,filename,image_path,plaque_path,xmin,ymin,xmax,ymax,texte_ocr,confiance_ocr,lettres,chiffres,symboles,n_lettres,n_chiffres,n_symboles,longueur,categorie,raison
train,xemay1793_jpg.rf.0dc26bab2eb4bb60c25bf0430a744691.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\xemay1793_jpg.rf.0dc26bab2eb4bb60c25bf0430a744691.jpg,data/processed/plates_cropped\train_0_xemay1793_jpg.rf.0dc26bab2eb4bb60c25bf0430a744691.jpg,154,82,218,127,19374,0.5854,,19374,,0,5,0,5,DOUTEUSE,aucune_lettre
train,xemay1850_jpg.rf.a89277812aac9136da653af67d7e3df9.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\xemay1850_jpg.rf.a89277812aac9136da653af67d7e3df9.jpg,data/processed/plates_cropped\train_1_xemay1850_jpg.rf.a89277812aac9136da653af67d7e3df9.jpg,187,122,249,169,L28.72,0.5063,L,2872,.,1,4,1,6,CONFORME,format_valide
train,rotatequandoi50_jpg.rf.fcc6a91af1b79436df370a07040d00ad.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\rotatequandoi50_jpg.rf.fcc6a91af1b79436df370a07040d00ad.jpg,data/processed/plates_cropped\train_2_rotatequandoi50_jpg.rf.fcc6a91af1b79436df370a07040d00ad.jpg,260,322,325,370,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
train,Cars354_png_jpg.rf.52d6d5fb18efb7075b02ccc55c40ea71.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars354_png_jpg.rf.52d6d5fb18efb7075b02ccc55c40ea71.jpg,data/processed/plates_cropped\train_3_Cars354_png_jpg.rf.52d6d5fb18efb7075b02ccc55c40ea71.jpg,64,201,101,221,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
train,CarLongPlateGen2076_jpg.rf.2c1888f949cec4ec6e85f6e4a68684c5.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen2076_jpg.rf.2c1888f949cec4ec6e85f6e4a68684c5.jpg,data/processed/plates_cropped\train_4_CarLongPlateGen2076_jpg.rf.2c1888f949cec4ec6e85f6e4a68684c5.jpg,316,242,412,271,6E-161.69,0.4501,E,616169,-.,1,6,2,9,DOUTEUSE,confiance_moyenne
train,quandoi78_jpg.rf.44630427bfeefe5b07e74c100e14a9b5.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\quandoi78_jpg.rf.44630427bfeefe5b07e74c100e14a9b5.jpg,data/processed/plates_cropped\train_5_quandoi78_jpg.rf.44630427bfeefe5b07e74c100e14a9b5.jpg,741,318,874,399,PK-53-46,0.4255,PK,5346,--,2,4,2,8,DOUTEUSE,confiance_moyenne
train,quandoi85_jpg.rf.8a2ecee1827fa2eaf0a99c1ec91f8d82.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\quandoi85_jpg.rf.8a2ecee1827fa2eaf0a99c1ec91f8d82.jpg,data/processed/plates_cropped\train_6_quandoi85_jpg.rf.8a2ecee1827fa2eaf0a99c1ec91f8d82.jpg,187,262,213,284,522,0.1332,,522,,0,3,0,3,ILLISIBLE,confiance_trop_faible
train,quandoi85_jpg.rf.8a2ecee1827fa2eaf0a99c1ec91f8d82.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\quandoi85_jpg.rf.8a2ecee1827fa2eaf0a99c1ec91f8d82.jpg,data/processed/plates_cropped\train_7_quandoi85_jpg.rf.8a2ecee1827fa2eaf0a99c1ec91f8d82.jpg,427,277,446,291,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
train,pic_052_jpg.rf.8d8ada4bb6d13b9664ebc6f47f4ca36b.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\pic_052_jpg.rf.8d8ada4bb6d13b9664ebc6f47f4ca36b.jpg,data/processed/plates_cropped\train_8_pic_052_jpg.rf.8d8ada4bb6d13b9664ebc6f47f4ca36b.jpg,738,421,975,497,OYIHV,0.5996,OYIHV,,,5,0,0,5,DOUTEUSE,aucun_chiffre
train,Cars21_png_jpg.rf.5437d6da5e6270766d901440acf995b8.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars21_png_jpg.rf.5437d6da5e6270766d901440acf995b8.jpg,data/processed/plates_cropped\train_9_Cars21_png_jpg.rf.5437d6da5e6270766d901440acf995b8.jpg,190,164,254,191,4RO,0.1038,RO,4,,2,1,0,3,ILLISIBLE,confiance_trop_faible
train,cropquandoi84_jpg.rf.c0529defc0a9e176135940396c021063.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\cropquandoi84_jpg.rf.c0529defc0a9e176135940396c021063.jpg,data/processed/plates_cropped\train_10_cropquandoi84_jpg.rf.c0529defc0a9e176135940396c021063.jpg,612,541,696,613,52-40,0.3876,,5240,-,0,4,1,5,DOUTEUSE,aucune_lettre
train,CarLongPlateGen1436_jpg.rf.07d814bef8a8f91855a15e4232b450da.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen1436_jpg.rf.07d814bef8a8f91855a15e4232b450da.jpg,data/processed/plates_cropped\train_11_CarLongPlateGen1436_jpg.rf.07d814bef8a8f91855a15e4232b450da.jpg,210,95,312,129,616-510.08,0.9351,,61651008,-.,0,8,2,10,DOUTEUSE,aucune_lettre
train,rotatequandoi4_jpg.rf.bba6e3dfd506fa2fb35569331e051197.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\rotatequandoi4_jpg.rf.bba6e3dfd506fa2fb35569331e051197.jpg,data/processed/plates_cropped\train_12_rotatequandoi4_jpg.rf.bba6e3dfd506fa2fb35569331e051197.jpg,756,356,819,386,03576,0.1344,,03576,,0,5,0,5,ILLISIBLE,confiance_trop_faible
train,rotatequandoi4_jpg.rf.bba6e3dfd506fa2fb35569331e051197.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\rotatequandoi4_jpg.rf.bba6e3dfd506fa2fb35569331e051197.jpg,data/processed/plates_cropped\train_13_rotatequandoi4_jpg.rf.bba6e3dfd506fa2fb35569331e051197.jpg,200,421,226,432,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
train,xemay298_jpg.rf.b9e6c5bf0bafafd156ea6d8ecba76028.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\xemay298_jpg.rf.b9e6c5bf0bafafd156ea6d8ecba76028.jpg,data/processed/plates_cropped\train_14_xemay298_jpg.rf.b9e6c5bf0bafafd156ea6d8ecba76028.jpg,162,118,242,185,59-82,0.3139,,5982,-,0,4,1,5,DOUTEUSE,aucune_lettre
train,images39_jpg.rf.c5272e981545aa2e72aa3897ab72552a.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\images39_jpg.rf.c5272e981545aa2e72aa3897ab72552a.jpg,data/processed/plates_cropped\train_15_images39_jpg.rf.c5272e981545aa2e72aa3897ab72552a.jpg,122,53,201,89,EVS ROCK,0.623,EVSROCK,, ,7,0,1,8,DOUTEUSE,aucun_chiffre
train,CarLongPlateGen1437_jpg.rf.4f6aea63b574e6c601ea0570dc1f58be.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen1437_jpg.rf.4f6aea63b574e6c601ea0570dc1f58be.jpg,data/processed/plates_cropped\train_16_CarLongPlateGen1437_jpg.rf.4f6aea63b574e6c601ea0570dc1f58be.jpg,164,138,275,171,646.4403,0.4429,,6464403,.,0,7,1,8,DOUTEUSE,aucune_lettre
train,CarLongPlateGen2911_jpg.rf.7609a883c2d83c974e3f88c61cce8e80.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen2911_jpg.rf.7609a883c2d83c974e3f88c61cce8e80.jpg,data/processed/plates_cropped\train_17_CarLongPlateGen2911_jpg.rf.7609a883c2d83c974e3f88c61cce8e80.jpg,309,74,376,134,62820,0.4494,,62820,,0,5,0,5,DOUTEUSE,aucune_lettre
train,CarLongPlateGen143_jpg.rf.8997a6c7cd2901931723d9ba65906f32.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen143_jpg.rf.8997a6c7cd2901931723d9ba65906f32.jpg,data/processed/plates_cropped\train_18_CarLongPlateGen143_jpg.rf.8997a6c7cd2901931723d9ba65906f32.jpg,249,189,297,198,EE,0.0712,EE,,,2,0,0,2,ILLISIBLE,confiance_trop_faible
train,CarLongPlateGen1432_jpg.rf.90391554147a83238648b932adc230fc.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen1432_jpg.rf.90391554147a83238648b932adc230fc.jpg,data/processed/plates_cropped\train_19_CarLongPlateGen1432_jpg.rf.90391554147a83238648b932adc230fc.jpg,195,147,307,184,69172,0.5804,,69172,,0,5,0,5,DOUTEUSE,aucune_lettre
train,Cars121_png_jpg.rf.3bf9f0ee0a26dd699fb2d60f008c2f31.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars121_png_jpg.rf.3bf9f0ee0a26dd699fb2d60f008c2f31.jpg,data/processed/plates_cropped\train_20_Cars121_png_jpg.rf.3bf9f0ee0a26dd699fb2d60f008c2f31.jpg,335,191,356,203,,0.0,,,,0,0,0,0,ILLISIBLE,texte_vide
train,CarLongPlateGen1481_jpg.rf.a604f94d75f7e7077c44f8311d37d486.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen1481_jpg.rf.a604f94d75f7e7077c44f8311d37d486.jpg,data/processed/plates_cropped\train_21_CarLongPlateGen1481_jpg.rf.a604f94d75f7e7077c44f8311d37d486.jpg,238,168,334,198,6F 59881,0.6057,F,659881, ,1,6,1,8,CONFORME,format_valide
train,CarLongPlateGen1257_jpg.rf.cca80a7fcf4d90190b153dec6e35d7e5.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen1257_jpg.rf.cca80a7fcf4d90190b153dec6e35d7e5.jpg,data/processed/plates_cropped\train_22_CarLongPlateGen1257_jpg.rf.cca80a7fcf4d90190b153dec6e35d7e5.jpg,157,135,262,159,61037675,0.971,,61037675,,0,8,0,8,DOUTEUSE,aucune_lettre
train,CarLongPlateGen3843_jpg.rf.08d5c61264451db8cf67e400f8aa1915.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\CarLongPlateGen3843_jpg.rf.08d5c61264451db8cf67e400f8aa1915.jpg,data/processed/plates_cropped\train_23_CarLongPlateGen3843_jpg.rf.08d5c61264451db8cf67e400f8aa1915.jpg,216,205,311,261,63034,0.4678,,63034,,0,5,0,5,DOUTEUSE,aucune_lettre
train,Cars232_png_jpg.rf.2515ce9e1016ea8735ba29033df6e45d.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars232_png_jpg.rf.2515ce9e1016ea8735ba29033df6e45d.jpg,data/processed/plates_cropped\train_24_Cars232_png_jpg.rf.2515ce9e1016ea8735ba29033df6e45d.jpg,174,173,227,200,13,0.2498,,13,,0,2,0,2,ILLISIBLE,confiance_trop_faible
train,pic_051_jpg.rf.006b67eced2fabac1962065d58be7377.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\pic_051_jpg.rf.006b67eced2fabac1962065d58be7377.jpg,data/processed/plates_cropped\train_25_pic_051_jpg.rf.006b67eced2fabac1962065d58be7377.jpg,98,386,232,506,626,0.375,,626,,0,3,0,3,DOUTEUSE,aucune_lettre
train,Cars315_png_jpg.rf.61758bb2065aaaa9bb699b1606d61772.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\Cars315_png_jpg.rf.61758bb2065aaaa9bb699b1606d61772.jpg,data/processed/plates_cropped\train_26_Cars315_png_jpg.rf.61758bb2065aaaa9bb699b1606d61772.jpg,11,97,384,180,J98257,0.716,J,98257,,1,5,0,6,CONFORME,format_valide
train,pic_065_jpg.rf.31ac92be6f90a93d32a2e18045a9adbc.jpg,C:\Users\ibnal\Desktop\PROJET IA X3\archive\train\pic_065_jpg.rf.31ac92be6f90a93d32a2e18045a9adbc.jpg,data/processed/plates_cropped\train_27_pic_065_jpg.rf.31ac92be6f90a93d32a2e18045a9adbc.jpg,265,345,533,409,SP66 VXY,0.984,SPVXY,66, ,5,2,1,8,CONFORME,format_valide
