image_path,nom_fichier,region,texte_ocr,confiance_ocr,categorie,raison,score,dest_path
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_00_IMG_7399.JPG,2023_02_02_04_00_IMG_7399.JPG,Ashanti Region,ASO8638-20,0.8446,CONFORME,format_valide_ocr_confiant,0.8446,data/processed/sorted_plates\conformes\ASO8638_20_2023_02_02_04_00_IMG_7399.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_00_IMG_7400.JPG,2023_02_02_04_00_IMG_7400.JPG,Ashanti Region,SHOWERSL,0.8425,DOUTEUSE,format_invalide_sans_mixte,0.8425,data/processed/sorted_plates\douteuses\SHOWERSL_2023_02_02_04_00_IMG_7400.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_00_IMG_7401.JPG,2023_02_02_04_00_IMG_7401.JPG,Ashanti Region,SHOWERS,0.9998,DOUTEUSE,format_invalide_sans_mixte,0.9998,data/processed/sorted_plates\douteuses\SHOWERS_2023_02_02_04_00_IMG_7401.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_01_IMG_7407.JPG,2023_02_02_04_01_IMG_7407.JPG,Ashanti Region,8311-22,0.9999,DOUTEUSE,format_invalide_sans_mixte,0.9999,data/processed/sorted_plates\douteuses\8311_22_2023_02_02_04_01_IMG_7407.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_01_IMG_7409.JPG,2023_02_02_04_01_IMG_7409.JPG,Ashanti Region,ARSUS,0.3418,DOUTEUSE,format_invalide_sans_mixte,0.3418,data/processed/sorted_plates\douteuses\ARSUS_2023_02_02_04_01_IMG_7409.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_01_IMG_7411.JPG,2023_02_02_04_01_IMG_7411.JPG,Ashanti Region,DVLA,0.9999,DOUTEUSE,format_invalide_sans_mixte,0.9999,data/processed/sorted_plates\douteuses\DVLA_2023_02_02_04_01_IMG_7411.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_01_IMG_7412.JPG,2023_02_02_04_01_IMG_7412.JPG,Ashanti Region,LOA,0.801,DOUTEUSE,texte_trop_court,0.801,data/processed/sorted_plates\douteuses\LOA_2023_02_02_04_01_IMG_7412.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_01_IMG_7416.JPG,2023_02_02_04_01_IMG_7416.JPG,Ashanti Region,6422,0.9986,DOUTEUSE,format_invalide_sans_mixte,0.9986,data/processed/sorted_plates\douteuses\6422_2023_02_02_04_01_IMG_7416.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_01_IMG_7417.JPG,2023_02_02_04_01_IMG_7417.JPG,Ashanti Region,6422,0.9988,DOUTEUSE,format_invalide_sans_mixte,0.9988,data/processed/sorted_plates\douteuses\6422_2023_02_02_04_01_IMG_7417.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_02_IMG_7418.JPG,2023_02_02_04_02_IMG_7418.JPG,Ashanti Region,ACO1162-16,0.9387,CONFORME,format_valide_ocr_confiant,0.9387,data/processed/sorted_plates\conformes\ACO1162_16_2023_02_02_04_02_IMG_7418.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_02_IMG_7419.JPG,2023_02_02_04_02_IMG_7419.JPG,Ashanti Region,ACO1162-16,0.995,CONFORME,format_valide_ocr_confiant,0.995,data/processed/sorted_plates\conformes\ACO1162_16_2023_02_02_04_02_IMG_7419.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_04_54_IMG_7580.JPG,2023_02_02_04_54_IMG_7580.JPG,Ashanti Region,TAXI,0.9937,DOUTEUSE,format_invalide_sans_mixte,0.9937,data/processed/sorted_plates\douteuses\TAXI_2023_02_02_04_54_IMG_7580.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_05_45_IMG_7632.JPG,2023_02_02_05_45_IMG_7632.JPG,Ashanti Region,SHOP,0.6969,DOUTEUSE,format_invalide_sans_mixte,0.6969,data/processed/sorted_plates\douteuses\SHOP_2023_02_02_05_45_IMG_7632.JPG
C:\Users\ibnal\Desktop\PROJET IA X3\Automatic Number Plate Recognition\Automatic Number Plate Recognition\Number Plates\Ashanti Region\2023_02_02_10_24_IMG_7711.JPG,2023_02_02_10_24_IMG_7711.JPG,Ashanti Region,HYUNDAI,0.7421,DOUTEUSE,format_invalide_sans_mixte,0.7421,data/processed/sorted_plates\douteuses\HYUNDAI_2023_02_02_10_24_IMG_7711.JPG
